x,y,predicted_stage,stage_name,num_observations
14,8,3,bbch_51,1
15,8,3,bbch_51,1
16,8,0,bbch_00,1
17,8,3,bbch_51,1
21,8,0,bbch_00,1
19,8,0,bbch_00,1
18,8,3,bbch_51,1
20,8,0,bbch_00,1
22,8,0,bbch_00,1
0,9,3,bbch_51,1
2,9,3,bbch_51,1
1,9,3,bbch_51,1
5,9,3,bbch_51,1
3,9,3,bbch_51,1
6,9,3,bbch_51,1
4,9,3,bbch_51,1
9,9,3,bbch_51,1
7,9,3,bbch_51,1
8,9,3,bbch_51,1
10,9,3,bbch_51,1
14,9,0,bbch_00,1
11,9,3,bbch_51,1
13,9,3,bbch_51,1
12,9,3,bbch_51,1
15,9,3,bbch_51,1
16,9,3,bbch_51,1
18,9,3,bbch_51,1
17,9,3,bbch_51,1
19,9,0,bbch_00,1
21,9,0,bbch_00,1
20,9,0,bbch_00,1
22,9,0,bbch_00,1
1,10,3,bbch_51,1
0,10,0,bbch_00,1
2,10,3,bbch_51,1
3,10,3,bbch_51,1
6,10,3,bbch_51,1
4,10,3,bbch_51,1
5,10,3,bbch_51,1
7,10,3,bbch_51,1
8,10,3,bbch_51,1
9,10,3,bbch_51,1
10,10,3,bbch_51,1
11,10,3,bbch_51,1
12,10,3,bbch_51,1
13,10,3,bbch_51,1
14,10,0,bbch_00,1
15,10,3,bbch_51,1
16,10,3,bbch_51,1
17,10,3,bbch_51,1
18,10,3,bbch_51,1
19,10,0,bbch_00,1
20,10,0,bbch_00,1
21,10,0,bbch_00,1
1,11,3,bbch_51,1
22,10,0,bbch_00,1
0,11,3,bbch_51,1
2,11,3,bbch_51,1
3,11,3,bbch_51,1
4,11,3,bbch_51,1
5,11,3,bbch_51,1
6,11,3,bbch_51,1
8,11,3,bbch_51,1
7,11,3,bbch_51,1
9,11,3,bbch_51,1
10,11,3,bbch_51,1
12,11,3,bbch_51,1
11,11,3,bbch_51,1
13,11,3,bbch_51,1
15,11,3,bbch_51,1
14,11,3,bbch_51,1
17,11,3,bbch_51,1
16,11,3,bbch_51,1
18,11,3,bbch_51,1
20,11,0,bbch_00,1
19,11,0,bbch_00,1
21,11,6,bbch_99,1
22,11,0,bbch_00,1
2,12,3,bbch_51,1
1,12,3,bbch_51,1
0,12,3,bbch_51,1
4,12,3,bbch_51,1
3,12,3,bbch_51,1
5,12,3,bbch_51,1
6,12,3,bbch_51,1
7,12,3,bbch_51,1
8,12,3,bbch_51,1
9,12,3,bbch_51,1
10,12,3,bbch_51,1
12,12,3,bbch_51,1
11,12,3,bbch_51,1
13,12,3,bbch_51,1
14,12,3,bbch_51,1
16,12,3,bbch_51,1
15,12,3,bbch_51,1
17,12,3,bbch_51,1
19,12,0,bbch_00,1
18,12,3,bbch_51,1
20,12,0,bbch_00,1
0,13,3,bbch_51,1
21,12,6,bbch_99,1
22,12,0,bbch_00,1
1,13,3,bbch_51,1
3,13,0,bbch_00,1
4,13,3,bbch_51,1
2,13,3,bbch_51,1
5,13,3,bbch_51,1
6,13,3,bbch_51,1
9,13,3,bbch_51,1
8,13,3,bbch_51,1
7,13,3,bbch_51,1
12,13,3,bbch_51,1
10,13,3,bbch_51,1
11,13,3,bbch_51,1
13,13,3,bbch_51,1
15,13,3,bbch_51,1
16,13,3,bbch_51,1
17,13,0,bbch_00,1
14,13,3,bbch_51,1
20,13,0,bbch_00,1
21,13,0,bbch_00,1
18,13,0,bbch_00,1
19,13,0,bbch_00,1
0,14,3,bbch_51,1
1,14,3,bbch_51,1
22,13,0,bbch_00,1
2,14,3,bbch_51,1
6,14,3,bbch_51,1
4,14,3,bbch_51,1
3,14,0,bbch_00,1
5,14,3,bbch_51,1
8,14,3,bbch_51,1
7,14,3,bbch_51,1
10,14,3,bbch_51,1
9,14,3,bbch_51,1
11,14,3,bbch_51,1
12,14,3,bbch_51,1
13,14,3,bbch_51,1
14,14,3,bbch_51,1
15,14,3,bbch_51,1
16,14,3,bbch_51,1
18,14,0,bbch_00,1
17,14,0,bbch_00,1
19,14,0,bbch_00,1
20,14,0,bbch_00,1
21,14,0,bbch_00,1
22,14,0,bbch_00,1
0,15,1,bbch_10,1
1,15,3,bbch_51,1
2,15,0,bbch_00,1
3,15,0,bbch_00,1
4,15,0,bbch_00,1
6,15,0,bbch_00,1
5,15,0,bbch_00,1
8,15,0,bbch_00,1
7,15,0,bbch_00,1
9,15,0,bbch_00,1
10,15,3,bbch_51,1
11,15,3,bbch_51,1
12,15,3,bbch_51,1
15,15,2,bbch_31,1
13,15,3,bbch_51,1
14,15,3,bbch_51,1
16,15,2,bbch_31,1
19,15,3,bbch_51,1
18,15,3,bbch_51,1
17,15,3,bbch_51,1
20,15,3,bbch_51,1
21,15,3,bbch_51,1
0,16,3,bbch_51,1
22,15,3,bbch_51,1
1,16,3,bbch_51,1
4,16,0,bbch_00,1
2,16,0,bbch_00,1
3,16,3,bbch_51,1
5,16,0,bbch_00,1
7,16,0,bbch_00,1
8,16,0,bbch_00,1
6,16,0,bbch_00,1
9,16,0,bbch_00,1
12,16,3,bbch_51,1
10,16,3,bbch_51,1
11,16,3,bbch_51,1
13,16,3,bbch_51,1
14,16,3,bbch_51,1
16,16,3,bbch_51,1
15,16,3,bbch_51,1
17,16,3,bbch_51,1
20,16,3,bbch_51,1
19,16,3,bbch_51,1
18,16,3,bbch_51,1
21,16,3,bbch_51,1
22,16,3,bbch_51,1
