x,y,predicted_stage,stage_name,num_observations
6,4,2,bbch_31,1
7,4,2,bbch_31,1
8,4,3,bbch_51,1
9,4,0,bbch_00,1
11,4,0,bbch_00,1
10,4,6,bbch_99,1
12,4,0,bbch_00,1
13,4,0,bbch_00,1
14,4,0,bbch_00,1
15,4,0,bbch_00,1
16,4,2,bbch_31,1
18,4,0,bbch_00,1
17,4,0,bbch_00,1
19,4,0,bbch_00,1
23,4,6,bbch_99,1
20,4,0,bbch_00,1
21,4,0,bbch_00,1
22,4,0,bbch_00,1
24,4,0,bbch_00,1
25,4,0,bbch_00,1
26,4,1,bbch_10,1
27,4,6,bbch_99,1
28,4,6,bbch_99,1
31,4,2,bbch_31,1
29,4,0,bbch_00,1
30,4,2,bbch_31,1
32,4,6,bbch_99,1
33,4,0,bbch_00,1
34,4,0,bbch_00,1
35,4,0,bbch_00,1
36,4,3,bbch_51,1
37,4,3,bbch_51,1
40,4,2,bbch_31,1
38,4,0,bbch_00,1
39,4,0,bbch_00,1
41,4,1,bbch_10,1
42,4,0,bbch_00,1
43,4,6,bbch_99,1
44,4,3,bbch_51,1
45,4,3,bbch_51,1
46,4,3,bbch_51,1
47,4,3,bbch_51,1
0,5,0,bbch_00,1
1,5,6,bbch_99,1
4,5,1,bbch_10,1
2,5,6,bbch_99,1
3,5,1,bbch_10,1
5,5,2,bbch_31,1
7,5,2,bbch_31,1
6,5,2,bbch_31,1
8,5,2,bbch_31,1
9,5,2,bbch_31,1
10,5,0,bbch_00,1
12,5,2,bbch_31,1
11,5,0,bbch_00,1
15,5,1,bbch_10,1
13,5,1,bbch_10,1
14,5,1,bbch_10,1
16,5,0,bbch_00,1
17,5,0,bbch_00,1
18,5,0,bbch_00,1
19,5,0,bbch_00,1
20,5,0,bbch_00,1
21,5,0,bbch_00,1
25,5,2,bbch_31,1
24,5,0,bbch_00,1
23,5,0,bbch_00,1
22,5,0,bbch_00,1
26,5,1,bbch_10,1
28,5,2,bbch_31,1
27,5,3,bbch_51,1
29,5,3,bbch_51,1
32,5,3,bbch_51,1
30,5,3,bbch_51,1
31,5,3,bbch_51,1
33,5,3,bbch_51,1
34,5,3,bbch_51,1
35,5,0,bbch_00,1
36,5,3,bbch_51,1
38,5,0,bbch_00,1
37,5,3,bbch_51,1
40,5,0,bbch_00,1
39,5,3,bbch_51,1
41,5,0,bbch_00,1
42,5,1,bbch_10,1
43,5,6,bbch_99,1
44,5,3,bbch_51,1
46,5,3,bbch_51,1
45,5,3,bbch_51,1
47,5,3,bbch_51,1
2,6,1,bbch_10,1
0,6,0,bbch_00,1
1,6,1,bbch_10,1
3,6,0,bbch_00,1
4,6,0,bbch_00,1
5,6,2,bbch_31,1
6,6,2,bbch_31,1
7,6,2,bbch_31,1
10,6,2,bbch_31,1
8,6,2,bbch_31,1
9,6,2,bbch_31,1
11,6,0,bbch_00,1
12,6,2,bbch_31,1
13,6,2,bbch_31,1
14,6,0,bbch_00,1
15,6,0,bbch_00,1
16,6,1,bbch_10,1
17,6,0,bbch_00,1
18,6,1,bbch_10,1
19,6,2,bbch_31,1
20,6,0,bbch_00,1
21,6,0,bbch_00,1
23,6,0,bbch_00,1
22,6,0,bbch_00,1
24,6,0,bbch_00,1
25,6,0,bbch_00,1
26,6,3,bbch_51,1
27,6,3,bbch_51,1
29,6,3,bbch_51,1
28,6,3,bbch_51,1
30,6,3,bbch_51,1
31,6,3,bbch_51,1
33,6,3,bbch_51,1
32,6,3,bbch_51,1
34,6,3,bbch_51,1
35,6,0,bbch_00,1
36,6,3,bbch_51,1
38,6,0,bbch_00,1
39,6,0,bbch_00,1
37,6,3,bbch_51,1
40,6,6,bbch_99,1
43,6,6,bbch_99,1
41,6,1,bbch_10,1
42,6,0,bbch_00,1
44,6,3,bbch_51,1
45,6,3,bbch_51,1
46,6,3,bbch_51,1
47,6,3,bbch_51,1
1,7,0,bbch_00,1
0,7,1,bbch_10,1
3,7,1,bbch_10,1
2,7,1,bbch_10,1
5,7,2,bbch_31,1
6,7,2,bbch_31,1
4,7,1,bbch_10,1
7,7,2,bbch_31,1
8,7,2,bbch_31,1
10,7,6,bbch_99,1
9,7,6,bbch_99,1
11,7,0,bbch_00,1
13,7,1,bbch_10,1
12,7,2,bbch_31,1
14,7,2,bbch_31,1
15,7,2,bbch_31,1
16,7,3,bbch_51,1
17,7,0,bbch_00,1
18,7,0,bbch_00,1
19,7,0,bbch_00,1
20,7,1,bbch_10,1
21,7,0,bbch_00,1
22,7,0,bbch_00,1
23,7,0,bbch_00,1
24,7,3,bbch_51,1
26,7,3,bbch_51,1
25,7,3,bbch_51,1
27,7,3,bbch_51,1
28,7,3,bbch_51,1
29,7,3,bbch_51,1
30,7,3,bbch_51,1
32,7,3,bbch_51,1
31,7,3,bbch_51,1
33,7,3,bbch_51,1
34,7,3,bbch_51,1
35,7,0,bbch_00,1
36,7,3,bbch_51,1
37,7,3,bbch_51,1
39,7,3,bbch_51,1
38,7,3,bbch_51,1
40,7,0,bbch_00,1
42,7,1,bbch_10,1
41,7,0,bbch_00,1
43,7,6,bbch_99,1
44,7,3,bbch_51,1
45,7,3,bbch_51,1
46,7,3,bbch_51,1
47,7,3,bbch_51,1
1,8,1,bbch_10,1
0,8,1,bbch_10,1
3,8,2,bbch_31,1
2,8,2,bbch_31,1
4,8,1,bbch_10,1
5,8,2,bbch_31,1
6,8,1,bbch_10,1
7,8,2,bbch_31,1
8,8,1,bbch_10,1
9,8,2,bbch_31,1
11,8,0,bbch_00,1
12,8,1,bbch_10,1
10,8,1,bbch_10,1
14,8,0,bbch_00,1
13,8,1,bbch_10,1
15,8,6,bbch_99,1
16,8,0,bbch_00,1
20,8,2,bbch_31,1
17,8,6,bbch_99,1
19,8,2,bbch_31,1
18,8,6,bbch_99,1
21,8,0,bbch_00,1
24,8,3,bbch_51,1
23,8,0,bbch_00,1
22,8,0,bbch_00,1
25,8,3,bbch_51,1
26,8,3,bbch_51,1
27,8,3,bbch_51,1
28,8,3,bbch_51,1
30,8,3,bbch_51,1
29,8,3,bbch_51,1
33,8,3,bbch_51,1
34,8,3,bbch_51,1
31,8,3,bbch_51,1
32,8,3,bbch_51,1
35,8,3,bbch_51,1
36,8,3,bbch_51,1
38,8,3,bbch_51,1
37,8,3,bbch_51,1
40,8,0,bbch_00,1
41,8,0,bbch_00,1
39,8,3,bbch_51,1
42,8,1,bbch_10,1
43,8,0,bbch_00,1
45,8,3,bbch_51,1
44,8,3,bbch_51,1
47,8,3,bbch_51,1
46,8,3,bbch_51,1
0,9,6,bbch_99,1
1,9,6,bbch_99,1
2,9,6,bbch_99,1
4,9,1,bbch_10,1
3,9,2,bbch_31,1
5,9,0,bbch_00,1
6,9,0,bbch_00,1
7,9,2,bbch_31,1
8,9,0,bbch_00,1
10,9,3,bbch_51,1
11,9,2,bbch_31,1
9,9,0,bbch_00,1
12,9,3,bbch_51,1
15,9,3,bbch_51,1
14,9,3,bbch_51,1
13,9,3,bbch_51,1
16,9,3,bbch_51,1
18,9,1,bbch_10,1
19,9,2,bbch_31,1
17,9,3,bbch_51,1
20,9,2,bbch_31,1
21,9,0,bbch_00,1
23,9,0,bbch_00,1
22,9,0,bbch_00,1
24,9,3,bbch_51,1
26,9,3,bbch_51,1
25,9,3,bbch_51,1
27,9,3,bbch_51,1
29,9,3,bbch_51,1
28,9,3,bbch_51,1
30,9,3,bbch_51,1
31,9,3,bbch_51,1
32,9,3,bbch_51,1
33,9,3,bbch_51,1
34,9,3,bbch_51,1
35,9,3,bbch_51,1
36,9,3,bbch_51,1
37,9,3,bbch_51,1
39,9,3,bbch_51,1
38,9,3,bbch_51,1
41,9,0,bbch_00,1
40,9,0,bbch_00,1
43,9,1,bbch_10,1
44,9,2,bbch_31,1
42,9,0,bbch_00,1
45,9,4,bbch_75,1
46,9,3,bbch_51,1
47,9,3,bbch_51,1
1,10,6,bbch_99,1
0,10,0,bbch_00,1
2,10,0,bbch_00,1
3,10,1,bbch_10,1
