x,y,predicted_stage,stage_name,num_observations
21,4,0,bbch_00,1
24,4,3,bbch_51,1
23,4,3,bbch_51,1
25,4,3,bbch_51,1
26,4,3,bbch_51,1
27,4,3,bbch_51,1
29,4,3,bbch_51,1
28,4,3,bbch_51,1
31,4,3,bbch_51,1
30,4,3,bbch_51,1
33,4,3,bbch_51,1
32,4,3,bbch_51,1
34,4,3,bbch_51,1
35,4,3,bbch_51,1
37,4,3,bbch_51,1
36,4,3,bbch_51,1
38,4,3,bbch_51,1
39,4,3,bbch_51,1
41,4,0,bbch_00,1
40,4,0,bbch_00,1
42,4,0,bbch_00,1
0,5,0,bbch_00,1
43,4,6,bbch_99,1
2,5,3,bbch_51,1
1,5,6,bbch_99,1
3,5,3,bbch_51,1
4,5,3,bbch_51,1
5,5,3,bbch_51,1
7,5,3,bbch_51,1
6,5,3,bbch_51,1
8,5,3,bbch_51,1
9,5,3,bbch_51,1
10,5,3,bbch_51,1
11,5,3,bbch_51,1
12,5,3,bbch_51,1
15,5,3,bbch_51,1
13,5,3,bbch_51,1
14,5,3,bbch_51,1
16,5,3,bbch_51,1
17,5,3,bbch_51,1
18,5,3,bbch_51,1
21,5,0,bbch_00,1
19,5,3,bbch_51,1
20,5,3,bbch_51,1
22,5,3,bbch_51,1
23,5,3,bbch_51,1
24,5,3,bbch_51,1
25,5,3,bbch_51,1
26,5,3,bbch_51,1
27,5,3,bbch_51,1
29,5,3,bbch_51,1
28,5,3,bbch_51,1
30,5,3,bbch_51,1
31,5,3,bbch_51,1
33,5,3,bbch_51,1
32,5,3,bbch_51,1
35,5,3,bbch_51,1
34,5,3,bbch_51,1
36,5,0,bbch_00,1
38,5,3,bbch_51,1
37,5,0,bbch_00,1
39,5,3,bbch_51,1
40,5,0,bbch_00,1
41,5,0,bbch_00,1
42,5,0,bbch_00,1
43,5,6,bbch_99,1
1,6,6,bbch_99,1
0,6,0,bbch_00,1
2,6,3,bbch_51,1
4,6,3,bbch_51,1
3,6,3,bbch_51,1
6,6,3,bbch_51,1
5,6,3,bbch_51,1
7,6,3,bbch_51,1
9,6,3,bbch_51,1
8,6,3,bbch_51,1
10,6,3,bbch_51,1
11,6,3,bbch_51,1
12,6,3,bbch_51,1
15,6,3,bbch_51,1
13,6,3,bbch_51,1
16,6,3,bbch_51,1
14,6,3,bbch_51,1
17,6,3,bbch_51,1
19,6,3,bbch_51,1
18,6,1,bbch_10,1
20,6,0,bbch_00,1
22,6,3,bbch_51,1
23,6,3,bbch_51,1
21,6,0,bbch_00,1
24,6,3,bbch_51,1
25,6,3,bbch_51,1
26,6,3,bbch_51,1
27,6,3,bbch_51,1
28,6,3,bbch_51,1
30,6,3,bbch_51,1
29,6,3,bbch_51,1
32,6,3,bbch_51,1
33,6,3,bbch_51,1
31,6,3,bbch_51,1
34,6,3,bbch_51,1
35,6,3,bbch_51,1
37,6,0,bbch_00,1
36,6,3,bbch_51,1
38,6,3,bbch_51,1
40,6,0,bbch_00,1
42,6,0,bbch_00,1
39,6,3,bbch_51,1
41,6,0,bbch_00,1
0,7,2,bbch_31,1
2,7,4,bbch_75,1
43,6,0,bbch_00,1
1,7,6,bbch_99,1
4,7,3,bbch_51,1
3,7,4,bbch_75,1
5,7,3,bbch_51,1
6,7,3,bbch_51,1
7,7,3,bbch_51,1
9,7,3,bbch_51,1
8,7,3,bbch_51,1
11,7,3,bbch_51,1
10,7,3,bbch_51,1
13,7,3,bbch_51,1
12,7,3,bbch_51,1
14,7,3,bbch_51,1
17,7,3,bbch_51,1
15,7,3,bbch_51,1
16,7,3,bbch_51,1
18,7,3,bbch_51,1
19,7,3,bbch_51,1
22,7,3,bbch_51,1
21,7,3,bbch_51,1
20,7,3,bbch_51,1
23,7,3,bbch_51,1
25,7,3,bbch_51,1
24,7,3,bbch_51,1
